quarter,sector,share_of_universe,share_of_top_decile,gap
2023Q1,Services,0.0216998191681736,0.03636363636363636,0.014663817195462763
2023Q1,Construction,0.0108499095840868,0.03636363636363636,0.025513726779549564
2023Q1,Textiles,0.0054249547920434,0.0,-0.0054249547920434
2023Q2,Financial Services,0.2318840579710145,0.10909090909090909,-0.12279314888010541
2023Q2,Capital Goods,0.10144927536231885,0.43636363636363634,0.3349143610013175
2023Q2,Healthcare,0.08152173913043478,0.01818181818181818,-0.0633399209486166
2023Q2,Fast Moving Consumer Goods,0.07608695652173914,0.03636363636363636,-0.03972332015810277
2023Q2,Automobile and Auto Components,0.07065217391304347,0.0,-0.07065217391304347
2023Q2,Information Technology,0.06340579710144928,0.0,-0.06340579710144928
2023Q2,Metals & Mining,0.05434782608695652,0.0,-0.05434782608695652
2023Q2,Oil Gas & Consumable Fuels,0.04891304347826087,0.03636363636363636,-0.01254940711462451
2023Q2,Consumer Services,0.043478260869565216,0.01818181818181818,-0.025296442687747035
2023Q2,Power,0.043478260869565216,0.18181818181818182,0.1383399209486166
2023Q2,Consumer Durables,0.03804347826086957,0.0,-0.03804347826086957
2023Q2,Realty,0.03260869565217391,0.0,-0.03260869565217391
2023Q2,Chemicals,0.03260869565217391,0.05454545454545454,0.02193675889328063
2023Q2,Construction Materials,0.021739130434782608,0.01818181818181818,-0.003557312252964427
2023Q2,Telecommunication,0.021739130434782608,0.01818181818181818,-0.003557312252964427
2023Q2,Services,0.021739130434782608,0.03636363636363636,0.014624505928853754
2023Q2,Construction,0.010869565217391304,0.03636363636363636,0.025494071146245058
2023Q2,Textiles,0.005434782608695652,0.0,-0.005434782608695652
2023Q3,Financial Services,0.23243243243243245,0.2545454545454545,0.022113022113022074
2023Q3,Capital Goods,0.10270270270270271,0.36363636363636365,0.26093366093366094
2023Q3,Healthcare,0.08108108108108109,0.0,-0.08108108108108109
2023Q3,Fast Moving Consumer Goods,0.07567567567567568,0.01818181818181818,-0.0574938574938575
2023Q3,Automobile and Auto Components,0.07027027027027027,0.05454545454545454,-0.01572481572481573
2023Q3,Information Technology,0.06486486486486487,0.0,-0.06486486486486487
2023Q3,Metals & Mining,0.05405405405405406,0.03636363636363636,-0.017690417690417695
2023Q3,Oil Gas & Consumable Fuels,0.04864864864864865,0.03636363636363636,-0.01228501228501229
2023Q3,Consumer Services,0.043243243243243246,0.01818181818181818,-0.025061425061425065
2023Q3,Power,0.043243243243243246,0.03636363636363636,-0.006879606879606884
2023Q3,Consumer Durables,0.03783783783783784,0.03636363636363636,-0.001474201474201478
2023Q3,Realty,0.032432432432432434,0.0,-0.032432432432432434
2023Q3,Chemicals,0.032432432432432434,0.0,-0.032432432432432434
